Sample ,Plant #,Sample,Day,Sample ID,content (ng/mg),Notes,,,Root,,Average,,,,,,,SEM,,,,,,,,,,,,,,,,
S-13,14,Shoot,50,       +M +E,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-14,15,Shoot,50,       +M +E,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-15,16,Shoot,50,       +M +E,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-16,17,Shoot,50,       +M +E,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-17,18,Shoot,50,       +M +E,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-18,19,Shoot,50,       +M +E,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-19,20,Shoot,50,       +M +E,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-20,21,Shoot,50,       +M +E,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-21,22,Shoot,50,       +M +E,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-22,23,Shoot,50,       +M +E,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-23,24,Shoot,50,       +M +E,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-24,25,Shoot,50,       +M +E,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-25,27,Shoot,60,       +M +E,1.15,60,       +M +E,1.15,,1.15,0.68,0.57,1.60,0.86,1.32,1.46,1.31,4.49,2.69,1.34,0.71,,,,,,,,,,,,,
S-26,28,Shoot,60,       +M +E,0.68,60,       +M +E,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,
S-27,29,Shoot,60,       +M +E,0.57,60,       +M +E,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,
S-28,30,Shoot,60,       +M +E,1.60,60,       +M +E,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,
S-29,31,Shoot,60,       +M +E,0.86,60,       +M +E,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,
S-30,32,Shoot,60,       +M +E,1.32,60,       +M +E,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,
