Plant Group,Plant Number,Sampling Day ,Height (cm),Shoot weight (g),Root weight (g),Grain weight,Total biomass(g),chlorophyll content(fv/fm),Flowering?,R/S Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,13,40,67.5,,,,,0.82,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,14,50,69.5,5.57,1.089,,6.659,0.79,Y,0.19551167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,15,50,71.3,4.212,0.662,,4.874,0.78,Y,0.157169991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,16,50,71.5,5.304,0.831,,6.135,0.29,Y,0.156674208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,17,50,67.6,2.995,0.45,,3.445,0.82,Y,0.150250417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,18,50,67.1,4.784,0.727,,5.511,0.77,Y,0.151964883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,19,50,74.1,3.708,0.623,,4.331,0.77,Y,0.168015102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,20,50,69.0,4.029,0.583,,4.612,0.81,Y,0.144700918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,21,50,71.5,3.199,0.553,,3.752,0.78,Y,0.172866521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,22,50,67.4,3.793,0.577,,4.37,0.68,Y,0.152122331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,23,50,66.6,3.816,0.725,,4.541,0.80,Y,0.189989518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,24,50,70.9,5.845,1.282,,7.127,0.82,Y,0.219332763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,25,50,65.2,3.905,0.776,,4.681,0.83,Y,0.19871959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,26,50,71.3,,,,,0.53,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,27,60,68.5,3.239,0.938,2.731,6.908,0.78,Y,0.289595554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,28,60,64.3,3.78,0.841,1.915,6.536,0.82,Y,0.222486772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,29,60,69.1,3.455,1.054,3.039,7.548,0.79,Y,0.305065123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,30,60,73.3,4.146,1.116,2.485,7.747,0.82,Y,0.269175109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,31,60,71.1,3.671,0.858,2.949,7.478,0.80,Y,0.233723781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-M+E,32,60,67.1,3.911,1.054,2.063,7.028,0.79,Y,0.269496293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
